name,kind,area,status,return_or_variable_type,parameters
bit_buffer_append,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const BitBuffer*"
bit_buffer_append_bit,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, _Bool"
bit_buffer_append_byte,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"BitBuffer*, uint8_t"
bit_buffer_append_bytes,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"BitBuffer*, const uint8_t*, size_t"
bit_buffer_append_right,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const BitBuffer*, size_t"
bit_buffer_copy,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const BitBuffer*"
bit_buffer_copy_bits,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const uint8_t*, size_t"
bit_buffer_copy_bytes,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const uint8_t*, size_t"
bit_buffer_copy_bytes_with_parity,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const uint8_t*, size_t"
bit_buffer_copy_left,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const BitBuffer*, size_t"
bit_buffer_copy_right,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, const BitBuffer*, size_t"
bit_buffer_free,Function,Other libraries and assets,native_export_needs_arm_bridge,void,BitBuffer*
bit_buffer_get_byte,Function,Other libraries and assets,not_bridged,uint8_t,"const BitBuffer*, size_t"
bit_buffer_get_byte_from_bit,Function,Other libraries and assets,not_bridged,uint8_t,"const BitBuffer*, size_t"
bit_buffer_get_capacity_bytes,Function,Other libraries and assets,not_bridged,size_t,const BitBuffer*
bit_buffer_get_data,Function,Other libraries and assets,native_export_needs_arm_bridge,const uint8_t*,const BitBuffer*
bit_buffer_get_parity,Function,Other libraries and assets,not_bridged,const uint8_t*,const BitBuffer*
bit_buffer_get_size,Function,Other libraries and assets,not_bridged,size_t,const BitBuffer*
bit_buffer_get_size_bytes,Function,Other libraries and assets,native_export_needs_arm_bridge,size_t,const BitBuffer*
bit_buffer_has_partial_byte,Function,Other libraries and assets,not_bridged,_Bool,const BitBuffer*
bit_buffer_reset,Function,Other libraries and assets,native_export_needs_arm_bridge,void,BitBuffer*
bit_buffer_set_byte,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, size_t, uint8_t"
bit_buffer_set_byte_with_parity,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, size_t, uint8_t, _Bool"
bit_buffer_set_size,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, size_t"
bit_buffer_set_size_bytes,Function,Other libraries and assets,not_bridged,void,"BitBuffer*, size_t"
bit_buffer_starts_with_byte,Function,Other libraries and assets,not_bridged,_Bool,"const BitBuffer*, uint8_t"
bit_buffer_write_bytes,Function,Other libraries and assets,not_bridged,void,"const BitBuffer*, void*, size_t"
bit_buffer_write_bytes_mid,Function,Other libraries and assets,not_bridged,void,"const BitBuffer*, void*, size_t, size_t"
bit_buffer_write_bytes_with_parity,Function,Other libraries and assets,not_bridged,void,"const BitBuffer*, void*, size_t, size_t*"
bit_lib_add_parity,Function,Other libraries and assets,not_bridged,size_t,"const uint8_t*, size_t, uint8_t*, size_t, uint8_t, uint8_t, BitLibParity"
bit_lib_bytes_to_num_bcd,Function,Other libraries and assets,native_export_needs_arm_bridge,uint64_t,"const uint8_t*, uint8_t, _Bool*"
bit_lib_bytes_to_num_be,Function,Other libraries and assets,native_export_needs_arm_bridge,uint64_t,"const uint8_t*, uint8_t"
bit_lib_bytes_to_num_le,Function,Other libraries and assets,native_export_needs_arm_bridge,uint64_t,"const uint8_t*, uint8_t"
bit_lib_copy_bits,Function,Other libraries and assets,not_bridged,void,"uint8_t*, size_t, size_t, const uint8_t*, size_t"
bit_lib_crc16,Function,Other libraries and assets,not_bridged,uint16_t,"const uint8_t*, size_t, uint16_t, uint16_t, _Bool, _Bool, uint16_t"
bit_lib_crc8,Function,Other libraries and assets,not_bridged,uint16_t,"const uint8_t*, size_t, uint8_t, uint8_t, _Bool, _Bool, uint8_t"
bit_lib_get_bit,Function,Other libraries and assets,not_bridged,_Bool,"const uint8_t*, size_t"
bit_lib_get_bit_count,Function,Other libraries and assets,not_bridged,uint8_t,uint32_t
bit_lib_get_bits,Function,Other libraries and assets,native_export_needs_arm_bridge,uint8_t,"const uint8_t*, size_t, uint8_t"
bit_lib_get_bits_16,Function,Other libraries and assets,native_export_needs_arm_bridge,uint16_t,"const uint8_t*, size_t, uint8_t"
bit_lib_get_bits_32,Function,Other libraries and assets,native_export_needs_arm_bridge,uint32_t,"const uint8_t*, size_t, uint8_t"
bit_lib_get_bits_64,Function,Other libraries and assets,native_export_needs_arm_bridge,uint64_t,"const uint8_t*, size_t, uint8_t"
bit_lib_num_to_bytes_be,Function,Other libraries and assets,native_export_needs_arm_bridge,void,"uint64_t, uint8_t, uint8_t*"
bit_lib_num_to_bytes_le,Function,Other libraries and assets,not_bridged,void,"uint64_t, uint8_t, uint8_t*"
bit_lib_print_bits,Function,Other libraries and assets,not_bridged,void,"const uint8_t*, size_t"
bit_lib_print_regions,Function,Other libraries and assets,not_bridged,void,"const BitLibRegion*, size_t, const uint8_t*, size_t"
